Input,Output,Frequency,SyllableContact_4,SyllableContact_3,SyllableContact_2,SyllableContact_1,SyllableContact_-1,*Complex,*Dep,Contiguity
swoon,sewoon,5,0,0,0,0,1,0,1,1
swoon,eswoon,0,0,1,0,0,0,0,1,0
thrashing,thrashing,24,0,0,0,0,0,1,0,0
thrashing,therashing,5,0,0,0,0,0,0,1,1
thrashing,ethrashing,0,0,0,1,0,0,0,1,0
thread,thread,24,0,0,0,0,0,1,0,0
thread,theread,6,0,0,0,0,0,0,1,1
thread,ethread,0,0,0,1,0,0,0,1,0
three,three,25,0,0,0,0,0,1,0,0
three,theree,5,0,0,0,0,0,0,1,1
three,ethree,0,0,0,1,0,0,0,1,0
throttle,throttle,24,0,0,0,0,0,1,0,0
throttle,therottle,3,0,0,0,0,0,0,1,1
throttle,ethrottle,0,0,0,1,0,0,0,1,0
trot,trot,26,0,0,0,0,0,1,0,0
trot,terot,4,0,0,0,0,0,0,1,1
trot,etrot,0,0,1,0,0,0,0,1,0
tweaking,tweaking,26,0,0,0,0,0,1,0,0
tweaking,teweaking,3,0,0,0,0,1,0,1,1
tweaking,etweaking,0,1,0,0,0,0,0,1,0
twin,twin,25,0,0,0,0,0,1,0,0
twin,tewin,5,0,0,0,0,1,0,1,1
twin,etwin,0,1,0,0,0,0,0,1,0
twitches,twitches,26,0,0,0,0,0,1,0,0
twitches,tewitches,3,0,0,0,0,1,0,1,1
twitches,etwitches,0,1,0,0,0,0,0,1,0
