"Input","Output","Frequency","SyllableContact_4","SyllableContact_3","SyllableContact_2","SyllableContact_1","SyllableContact_-1","SyllableContact_-2","SyllableContact_-3","SyllableContact_-4","SyllableContact_-5","*Complex","Dep","Contiguity"
"spark","spark-anaptyxis","0","","","","","","","","","1","","1","1"
"spark","spark-prothesis","6","","","","","1","","","","","","1",""
"speed","speed-none","22","","","","","","","","","","1","",""
"speed","speed-anaptyxis","0","","","","","","","","","1","","1","1"
"speed","speed-prothesis","8","","","","","1","","","","","","1",""
"start","start-none","40","","","","","","","","","","1","",""
"start","start-anaptyxis","0","","","","","","","","","1","","1","1"
"start","start-prothesis","11","","","","","1","","","","","","1",""
"starts","starts-none","27","","","","","","","","","","1","",""
"starts","starts-anaptyxis","0","","","","","","","","","1","","1","1"
"starts","starts-prothesis","10","","","","","1","","","","","","1",""
"steps","steps-none","24","","","","","","","","","","1","",""
"steps","steps-anaptyxis","0","","","","","","","","","1","","1","1"
"steps","steps-prothesis","6","","","","","1","","","","","","1",""
"stop","stop-none","26","","","","","","","","","","1","",""
"stop","stop-anaptyxis","0","","","","","","","","","1","","1","1"
"stop","stop-prothesis","4","","","","","1","","","","","","1",""
"swats","swats-none","28","","","","","","","","","","1","",""
"swats","swats-anaptyxis","2","","","","","1","","","","","","1","1"
"swats","swats-prothesis","0","","1","","","","","","","","","1",""
"sweeping","sweeping-none","25","","","","","","","","","","1","",""
"sweeping","sweeping-anaptyxis","4","","","","","1","","","","","","1","1"
"sweeping","sweeping-prothesis","0","","1","","","","","","","","","1",""
"sweeps","sweeps-none","28","","","","","","","","","","1","",""
"sweeps","sweeps-anaptyxis","1","","","","","1","","","","","","1","1"
"sweeps","sweeps-prothesis","1","","1","","","","","","","","","1",""
"swim","swim-none","27","","","","","","","","","","1","",""
"swim","swim-anaptyxis","2","","","","","1","","","","","","1","1"
"swim","swim-prothesis","1","","1","","","","","","","","","1",""
"swoon","swoon-none","25","","","","","","","","","","1","",""
"swoon","swoon-anaptyxis","5","","","","","1","","","","","","1","1"
"swoon","swoon-prothesis","0","","1","","","","","","","","","1",""
"thrashing","thrashing-none","24","","","","","","","","","","1","",""
"thrashing","thrashing-anaptyxis","5","","","","","","1","","","","","1","1"
"thrashing","thrashing-prothesis","0","","","1","","","","","","","","1",""
"thread","thread-none","24","","","","","","","","","","1","",""
"thread","thread-anaptyxis","6","","","","","","1","","","","","1","1"
"thread","thread-prothesis","0","","","1","","","","","","","","1",""
"three","three-none","25","","","","","","","","","","1","",""
"three","three-anaptyxis","5","","","","","","1","","","","","1","1"
"three","three-prothesis","0","","","1","","","","","","","","1",""
"throttle","throttle-none","24","","","","","","","","","","1","",""
"throttle","throttle-anaptyxis","3","","","","","","1","","","","","1","1"
"throttle","throttle-prothesis","0","","","1","","","","","","","","1",""
"trot","trot-none","26","","","","","","","","","","1","",""
"trot","trot-anaptyxis","4","","","","","","1","","","","","1","1"
"trot","trot-prothesis","0","","1","","","","","","","","","1",""
"tweaking","tweaking-none","26","","","","","","","","","","1","",""
"tweaking","tweaking-anaptyxis","3","","","","","1","","","","","","1","1"
"tweaking","tweaking-prothesis","0","1","","","","","","","","","","1",""
"twin","twin-none","25","","","","","","","","","","1","",""
"twin","twin-anaptyxis","5","","","","","1","","","","","","1","1"
"twin","twin-prothesis","0","1","","","","","","","","","","1",""
"twitches","twitches-none","26","","","","","","","","","","1","",""
"twitches","twitches-anaptyxis","3","","","","","1","","","","","","1","1"
"twitches","twitches-prothesis","0","1","","","","","","","","","","1",""
